parameter,estimate
a,0.20491814805851763
b,0.08116118363053101
c,-0.010188576528708075
d,-0.0019711947646494678
sigma1,1.0004614636997304
sigma2,0.5996832975468959
rmse_hare,21.319438886020915
rmse_lynx,1.5609792584896678
obs_cycle_mean,4.7
obs_cycle_sd,3.020301677353145
sim_cycle_mean,4.952127659574468
sim_cycle_sd,3.1542935249227986
